sequenceId,ParameterKey,ParameterValue
2_23F,repmark,45.79
2_23F,presmark,18.66666667
2_23F,teammark,58.234444446666664
2_23F,airtime_evenness,-10.965473307308455
2_23F,psy_safe,4.380952380952381
2_24A,expgroup,Control
2_24A,repmark,46.99
2_24A,presmark,18.0
2_24A,teammark,58.99
2_24A,airtime_evenness,-11.815838730946991
2_24A,psy_safe,3.9466666666666668
2_24B,expgroup,Control
2_24B,repmark,48.24
2_24B,presmark,17.0
2_24B,teammark,59.57333333333333
2_24B,airtime_evenness,-10.493766447258988
2_24B,psy_safe,4.157142857142857
2_24C,expgroup,Control
2_24C,repmark,50.74
2_24C,presmark,19.0
2_24C,teammark,63.40666666666666
2_24C,airtime_evenness,-12.711841404708943
2_24C,psy_safe,4.329523809523811
2_24D,expgroup,Control
2_24D,repmark,54.529999999999994
2_24D,presmark,17.0
2_24D,teammark,65.86333333333333
2_24D,airtime_evenness,-6.798681373656058
2_24D,psy_safe,4.5
2_24E,expgroup,Control
2_24E,repmark,54.67000000000001
2_24E,presmark,20.0
2_24E,teammark,68.00333333333333
2_24E,airtime_evenness,-10.050193913478129
2_24E,psy_safe,4.242857142857143
2_24F,expgroup,Control
2_24F,repmark,45.550000000000004
2_24F,presmark,19.0
2_24F,teammark,58.21666666666666
2_24F,airtime_evenness,-10.122672145178097
2_24F,psy_safe,3.8647619047619046
2_25A,expgroup,Reflection
2_25A,repmark,48.24
2_25A,presmark,24.66666667
2_25A,teammark,64.68444444666669
2_25A,airtime_evenness,-10.45490196135937
2_25A,psy_safe,3.9714285714285715
2_25B,expgroup,Reflection
2_25B,repmark,50.35
2_25B,presmark,17.33333333
2_25B,teammark,61.90555555333333
2_25B,airtime_evenness,-8.994783324735833
2_25B,psy_safe,4.338095238095238
2_25C,expgroup,Reflection
2_25C,repmark,47.52
2_25C,presmark,18.0
2_25C,teammark,59.52
2_25C,airtime_evenness,-6.466363562081436
2_25C,psy_safe,4.442857142857144
2_25D,expgroup,Reflection
2_25D,repmark,50.35
2_25D,presmark,19.0
2_25D,teammark,63.01666666666666
2_25D,airtime_evenness,-14.700891332408442
2_25D,psy_safe,4.1466666666666665
2_25E,expgroup,Reflection
2_25E,repmark,56.02
2_25E,presmark,23.33333333
2_25E,teammark,71.57555555333333
2_25E,airtime_evenness,-9.755573953990591
2_25E,psy_safe,4.047619047619048
2_25F,expgroup,Reflection
2_25F,repmark,55.15
2_25F,presmark,25.0
2_25F,teammark,71.81666666666666
2_25F,airtime_evenness,-8.100578102622071
2_25F,psy_safe,4.298095238095238
2_26A,expgroup,Feedback
2_26A,repmark,66.72000000000001
2_26A,presmark,13.66666667
2_26A,teammark,75.83111111333334
2_26A,airtime_evenness,-9.369773717152647
2_26A,psy_safe,4.3
2_26B,expgroup,Feedback
2_26B,repmark,65.81
2_26B,presmark,12.0
2_26B,teammark,73.81
2_26B,airtime_evenness,-6.348723079071529
2_26B,psy_safe,4.267857142857142
2_26D,expgroup,Feedback
2_26D,repmark,78.24
2_26D,presmark,22.66666667
2_26D,teammark,93.35111111333333
2_26D,airtime_evenness,-10.435322026615115
2_26D,psy_safe,4.531428571428572
2_26E,expgroup,Feedback
2_26E,repmark,75.15999999999998
2_26E,presmark,19.33333333
2_26E,teammark,88.04888888666666
2_26E,airtime_evenness,-12.018310014382436
2_26E,psy_safe,3.7988095238095236
2_27A,expgroup,Control
2_27A,repmark,49.68
2_27A,presmark,16.75
2_27A,teammark,60.84666666666667
2_27A,airtime_evenness,-11.356698865334998
2_27A,psy_safe,4.318571428571429
2_27B,expgroup,Control
2_27B,repmark,44.4
2_27B,presmark,19.5
2_27B,teammark,57.4
2_27B,airtime_evenness,-7.852312344374616
2_27B,psy_safe,4.385714285714286
